,County,Race,0
0,ANDERSON,BLACK,1
1,ANDERSON,WHITE,1
2,BEDFORD,BLACK,1
3,BEDFORD,WHITE,1
4,BLOUNT,BLACK,5
5,BLOUNT,WHITE,3
6,BLOUNT,HISPANIC,1
7,BRADLEY,BLACK,4
8,BRADLEY,WHITE,1
9,CLAY,WHITE,1
10,CUMBERLAND,WHITE,1
11,DAVIDSON,BLACK,49
12,DAVIDSON,WHITE,9
13,DAVIDSON,HISPANIC,7
14,DECATUR,WHITE,2
15,DYER,BLACK,4
16,DYER,WHITE,1
17,FAYETTE,WHITE,1
18,GILES,BLACK,1
19,HARDIN,BLACK,1
20,HAWKINS,WHITE,5
21,HOUSTON,BLACK,1
22,HUMPHREYS,WHITE,1
23,KNOX,BLACK,107
24,KNOX,WHITE,12
25,KNOX,HISPANIC,1
26,LAKE,WHITE,1
27,LEWIS,WHITE,1
28,LOUDON,WHITE,2
29,MACON,WHITE,2
30,MADISON,BLACK,1
31,MARSHALL,WHITE,1
32,MAURY,BLACK,45
33,MAURY,WHITE,13
34,MONROE,BLACK,1
35,MONTGOMERY,BLACK,5
36,OBION,BLACK,3
37,OVERTON,WHITE,1
38,PUTNAM,WHITE,5
39,PUTNAM,BLACK,2
40,ROANE,BLACK,4
41,ROBERTSON,BLACK,1
42,SEVIER,WHITE,5
43,SEVIER,HISPANIC,1
44,SHELBY,BLACK,1
45,SHELBY,WHITE,1
46,SULLIVAN,BLACK,50
47,SULLIVAN,WHITE,45
48,SULLIVAN,HISPANIC,1
49,SUMNER,BLACK,1
50,TIPTON,BLACK,5
51,TIPTON,WHITE,3
52,WARREN,BLACK,2
53,WARREN,WHITE,2
54,WARREN,HISPANIC,1
55,WHITE,BLACK,2
56,WHITE,WHITE,1
57,WILLIAMSON,BLACK,3
